日付,機種名,台番号,G数,差枚,BB回数,RB回数,合成確率,BB確率,RB確率,ブドウ確率,setting,day_end,合成回数,機種台数,前日のG数,前日の差枚,前日のBB回数,前日のRB回数,前日の合成回数,前日の合成確率,前日のBB確率,前日のRB確率,前日のG数ランキング,前日の差枚ランキング,前日の合成回数ランキング,前日の合成確率ランキング,2日前のG数,2日前の差枚,2日前のBB回数,2日前のRB回数,2日前の合成回数,2日前の合成確率,2日前のBB確率,2日前のRB確率,3日前のG数,3日前の差枚,3日前のBB回数,3日前のRB回数,3日前の合成回数,3日前の合成確率,3日前のBB確率,3日前のRB確率,4日前のG数,4日前の差枚,4日前のBB回数,4日前のRB回数,4日前の合成回数,4日前の合成確率,4日前のBB確率,4日前のRB確率,5日前のG数,5日前の差枚,5日前のBB回数,5日前のRB回数,5日前の合成回数,5日前の合成確率,5日前のBB確率,5日前のRB確率,6日前のG数,6日前の差枚,6日前のBB回数,6日前のRB回数,6日前の合成回数,6日前の合成確率,6日前のBB確率,6日前のRB確率,G数過去2日間合計,差枚過去2日間合計,合成回数過去2日間合計,合成確率過去2日間平均,G数過去3日間合計,差枚過去3日間合計,合成回数過去3日間合計,合成確率過去3日間平均,G数過去4日間合計,差枚過去4日間合計,合成回数過去4日間合計,合成確率過去4日間平均,G数過去5日間合計,差枚過去5日間合計,合成回数過去5日間合計,合成確率過去5日間平均,G数過去6日間合計,差枚過去6日間合計,合成回数過去6日間合計,合成確率過去6日間平均,過去2日間合計G数ランキング,過去2日間合計差枚ランキング,過去2日間合計合成回数ランキング,過去2日間平均合成確率ランキング,過去3日間合計G数ランキング,過去3日間合計差枚ランキング,過去3日間合計合成回数ランキング,過去3日間平均合成確率ランキング,過去6日間合計G数ランキング,過去6日間合計差枚ランキング,過去6日間合計合成回数ランキング,過去6日間平均合成確率ランキング
2023-09-16,アイムジャグラーEX-TP,111,7435,992,30,24,137.7,247.8,309.8,5.967957326737196,4,6,54,21,,,,,,,,,,,,,4356.0,-350.0,16.0,13.0,29.0,150.2,272.2,335.1,4970.0,-375.0,18.0,14.0,32.0,155.3,276.1,355.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-16,アイムジャグラーEX-TP,112,4432,-350,16,9,177.3,277.0,492.4,5.9308184744941945,1,6,25,21,,,,,,,,,,,,,1354.0,-210.0,5.0,2.0,7.0,193.4,270.8,677.0,4931.0,1598.0,23.0,15.0,38.0,129.8,214.4,328.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-16,アイムジャグラーEX-TP,113,3711,-517,10,11,176.7,371.1,337.4,5.59586550736096,0,6,21,21,,,,,,,,,,,,,2094.0,434.0,8.0,10.0,18.0,116.3,261.8,209.4,5795.0,1625.0,26.0,21.0,47.0,123.3,222.9,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-16,アイムジャグラーEX-TP,115,4719,-629,16,14,157.3,294.9,337.1,6.346322318992169,2,6,30,21,,,,,,,,,,,,,3704.0,1301.0,18.0,13.0,31.0,119.5,205.8,284.9,6013.0,-264.0,21.0,18.0,39.0,154.2,286.3,334.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-16,アイムジャグラーEX-TP,116,5653,1329,32,7,144.9,176.7,807.6,6.540134065459673,1,6,39,21,,,,,,,,,,,,,3728.0,-406.0,11.0,13.0,24.0,155.3,338.9,286.8,879.0,-486.0,2.0,1.0,3.0,293.0,439.5,879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-16,アイムジャグラーEX-TP,117,2011,-1524,4,2,335.2,502.8,1005.5,6.802676445561979,0,6,6,21,,,,,,,,,,,,,4244.0,1692.0,21.0,14.0,35.0,121.3,202.1,303.1,3124.0,-680.0,10.0,7.0,17.0,183.8,312.4,446.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-16,アイムジャグラーEX-TP,118,4568,-825,12,14,175.7,380.7,326.3,5.731613772244791,3,6,26,21,,,,,,,,,,,,,327.0,-322.0,0.0,1.0,1.0,327.0,0.0,327.0,4516.0,-347.0,16.0,13.0,29.0,155.7,282.2,347.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-16,アイムジャグラーEX-TP,120,4185,-769,16,2,232.5,261.6,2092.5,5.976949967430264,1,6,18,21,,,,,,,,,,,,,1820.0,-1021.0,3.0,6.0,9.0,202.2,606.7,303.3,1273.0,-83.0,5.0,3.0,8.0,159.1,254.6,424.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-16,アイムジャグラーEX-TP,121,4716,-1245,12,14,181.4,393.0,336.9,5.960135791002151,2,6,26,21,,,,,,,,,,,,,3346.0,-461.0,11.0,8.0,19.0,176.1,304.2,418.2,8023.0,-264.0,26.0,33.0,59.0,136.0,308.6,243.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-16,アイムジャグラーEX-TP,122,7363,-322,25,24,150.3,294.5,306.8,6.055864282908068,4,6,49,21,,,,,,,,,,,,,1371.0,-98.0,6.0,1.0,7.0,195.9,228.5,1371.0,4715.0,1348.0,24.0,14.0,38.0,124.1,196.5,336.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
